,video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,video_error_or_removed,description
10741,IXNrHusLXoM,18.06.01,Avicii - Friend Of Mine (Original Video) ft. Vargas & Lagola,AviciiOfficialVEVO,10,2017-12-31T11:00:07.000Z,"Avicii|""Friend""|""Of""|""Mine""|""Universal""|""Music""|""Dance""",2341544,85033,1577,3367,https://i.ytimg.com/vi/IXNrHusLXoM/default.jpg,False,False,False,Listen to the EP here: http://avicii.lnk.to/AVICI \n\nAgency: Black Dalmatian Films/OPA PEOPLE\n\nWritten by: @unkowngenius\n\nDirected by: Tobias Leo Nordquist\n\nProduction Company: Composite \nProducers: Charles Hayes & Cody
10800,gA-NDZb29I4,18.07.01,Justin Timberlake - Filthy (Official Video),justintimberlakeVEVO,10,2018-01-05T05:00:01.000Z,"Filthy|""Justin Timberlake""|""Pop""|""RCA Records Label""",9581344,190739,41411,23746,https://i.ytimg.com/vi/gA-NDZb29I4/default.jpg,False,False,False,Man Of The Woods – An Album By Justin Timberlake - February 2nd – Pre-Order Now:\niTunes - http://smarturl.it/jMOTW/itunes?IQid=yt\nAmazon - http://smarturl.it/jMOTW/az?IQid=yt\nSpotify Pre-Save - http://smarturl.it/jMOTW/spotifypresave?IQid=yt\nTarget - http://smarturl.it/jMOTW/target?IQid=yt \nGoogle Play - http://smarturl.it/jMOTW/googleplay?IQid=yt \nMore Options - http://smarturl.it/jMOTW?IQid=yt\n\nStream “Filthy”:\nApple Music - http://smarturl.it/jFILTHY/applemusic?IQid=yt\nSpotify - http://smarturl.it/jFILTHY/spotify?IQid=yt\nAmazon Music - http://smarturl.it/jFILTHY/az?IQid=yt\nDeezer - http://smarturl.it/jFILTHY/deezer?IQid=yt\n\nFollow Justin Timberlake:\nWebsite: https://www.justintimberlake.com/\nFacebook: https://www.facebook.com/justintimberlake \nTwitter: https://twitter.com/jtimberlake\nInstagram: https://www.instagram.com/justintimberlake/\nSpotify: http://smarturl.it/JTimberlakeSpotify
10802,z2kEKZ6jyQQ,18.07.01,JAY-Z - Family Feud ft. Beyoncé,JayZVEVO,10,2018-01-05T05:00:06.000Z,"JAY-Z|""Family""|""Feud""|""Roc""|""Nation""|""Jay-Z""|""Hip""|""Hop""|""New jayz album""|""JAY Z""|""JAYZ""|""TIDAL""|""4:44""|""444""|""family feud""|""Shawn Carter""|""beyonce""|""New York Times""",3071682,104694,9366,12951,https://i.ytimg.com/vi/z2kEKZ6jyQQ/default.jpg,False,False,False,"Watch Family Feud from JAY-Z’s new album, 4:44 Streaming now on TIDAL - https://JAY-Z.co/444  Follow JAY-Z: Facebook: https://www.facebook.com/JAYZ  Twitter: https://twitter.com/s_c_\n\nMusic video by JAY-Z performing Family Feud. (C) 2018 S. Carter Enterprises, LLC. Marketed by Roc Nation & Distributed by Roc Nation/UMG Recordings, Inc.\n\nhttp://vevo.ly/Sh4iow"
10811,zvjqcoiOPbE,18.07.01,Breaking Benjamin - Red Cold River (Audio Only),BreakingBenjaminVEVO,10,2018-01-05T05:00:03.000Z,"breaking benjamin red cold river|""breaking ben red cold river""|""breaking benjamin dark before dawn""|""breaking benjamin never again""|""bb red cold river""|""benjamin burnley""|""breaking benjamin failure""|""breaking benjamin angels fall""",614700,32623,612,4829,https://i.ytimg.com/vi/zvjqcoiOPbE/default.jpg,False,False,False,"Red Cold River is available here:\nDownload: http://hollywoodrecs.co/BBRedColdRiverDL\nStreaming: http://hollywoodrecs.co/BBRedColdRiver\n\nFollow Breaking Benjamin:\nFacebook: http://facebook.com/breakingbenjamin\nInstagram: http://instagram.com/breakingbenjamin\nTwitter: http://twitter.com/breakingbenj\n\nMusic video by Breaking Benjamin performing Red Cold River. (C) 2018 Hollywood Records, Inc\n\nhttp://vevo.ly/qwmHIx"
10813,ShZ978fBl6Y,18.07.01,Calum Scott - You Are The Reason (Official),CalumScottVEVO,10,2018-01-05T10:00:01.000Z,"calum scott|""you are the reason""|""music video""|""official""|""only human""|""dancing on my own""",1236331,94874,608,4078,https://i.ytimg.com/vi/ShZ978fBl6Y/default.jpg,False,False,False,"Pre-order Calum’s debut album ‘Only Human’ feat. “You Are The Reason” & “Dancing On My Own” now: http://calumscott.lnk.to/onlyhuman\nYou Are The Reason available now: http://calumscott.lnk.to/YATRYd\n\nLyrics:\nThere goes my heart beating\nCause you are the reason\nI'm losing my sleep\nPlease come back now\n\nThere goes my mind racing\nAnd you are the reason\nThat I'm still breathing\nI'm hopeless now\n\nI'd climb every mountain\nAnd swim every ocean\nJust to be with you\nAnd fix what I've broken\nOh, ‘cause I need you to see\nThat you are the reason\n\nThere goes my hands shaking\nCause you are the reason\nMy heart keeps bleeding\nAnd I need you now\n\nIf I could turn back the clock\nI'd make sure the light defeated the dark\nI'd spend every hour, of every day\nKeeping you safe\n\nI'd climb every mountain\nAnd swim every ocean\nJust to be with you\nAnd fix what I've broken\nOh, ‘cause I need you to see\nThat you are the reason\nYou are the reason\nYeah, yeah...\n\nI'd climb every mountain\nAnd swim every ocean\nJust to be with you\nAnd fix what I've broken\nOh, ‘cause I need you to see\nThat you are the reason\n\nFollow Calum Scott\nhttp://calumscott.com\nhttp://facebook.com/calumscottmusic1/\nhttp://twitter.com/calumscott\nhttp://instagram.com/calumscott/\nhttp://soundcloud.com/calumscottmusic\n\nMusic video by Calum Scott performing You Are The Reason. (C) 2018 Capitol Records\n\nhttp://vevo.ly/onHJtF"
10824,GfCqMv--ncA,18.07.01,"Kendrick Lamar, SZA - All The Stars (Audio)",KendrickLamarVEVO,10,2018-01-04T13:00:03.000Z,"Kendrick Lamar|""SZA""|""All The Stars""|""Black Panther""|""TDE""",4005722,172185,2665,10041,https://i.ytimg.com/vi/GfCqMv--ncA/default.jpg,False,False,False,Pre-order Black Panther: The Album\nhttp://smarturl.it/BlackPantherAlbum\n\nhttp://vevo.ly/3WpVJn
10827,BfbIoUMdKZ0,18.07.01,TobyMac - I just need U. (Audio),TobyMacVEVO,10,2018-01-05T05:00:01.000Z,"TobyMac|""just""|""need""|""U.""|""Forefront""|""(FRF)""|""Christian""",211421,9946,218,771,https://i.ytimg.com/vi/BfbIoUMdKZ0/default.jpg,False,False,False,"TobyMac- Official Audio Only Video for I just need U.”\n\nSubscribe to TobyMacVEVO: http://smarturl.it/TobyMacVEVOsub \n\nDownload or listen to this song: http://tobymac.co/IjustneedU.all \n\nFollow Artist: \nFacebook: http://facebook.com/tobymac\nTwitter: http://twitter.com/officialtobymac\nInstagram: http://instagram.com/officialtobymac\nSpotify: http://capcmg.me/ijustneedU.sp \n\nLYRICS: \n\nLast night put the heavy on me\nWoke up, and I’m feeling lonely\nThis world gotta a way of showin’ me\nSome days it’ll lift you up\nSome days it’ll call your bluff\nMan, most of my days I ain’t got enough\n\nAnd all I know is You’re my only hope\n\nWhen I’m up, when I’m down\nWhen the wolves come around\nWhen my feet hit the ground\nI just need, I just need U\nOn my darkest days, when I’m losing faith\nNo, it ain’t gonna change\nI just need, I just need U\nLord, I need U\nYeah, I just need U\n\nYea, though I walk through the valley of the shadow of death\nI will fear no evil for thou art with me\nThy rod and thy staff …\nThey comfort me when I’m beat down broken\nHold my heart when it’s split wide-open\nTurn these eyes to my sole protector\nAnd break the will of this born defector\n\nWhen You pull me closer I come to life\n\nAin’t no way this thing gon’ change, it’s U\nI need on my darkest days, when I’m losing faith\nI need U every single day, every breath I take\nI need U\n\nMusic video by TobyMac performing I just need U.. (C) 2018 Capitol Christian Music Group, Inc.\n\nhttp://vevo.ly/UukF0s"
10853,D0aAYfRBVik,18.07.01,Katy Perry - Making Of “Hey Hey Hey” Music Video,KatyPerryVEVO,10,2018-01-04T18:00:00.000Z,"katy perry|""hey hey hey""|""behind the scenes""|""bts""|""official""|""making of""|""witness""",1278273,53959,2367,2666,https://i.ytimg.com/vi/D0aAYfRBVik/default.jpg,False,False,False,Get Hey Hey Hey from Katy's new album 'Witness': http://katy.to/WitnessYd\nWatch the official music video for “Hey Hey Hey”: http://katy.to/hhhvidYd\n\nWITNESS: The Tour tickets available now! https://www.katyperry.com/tour\n\nBehind The Scenes Directed by Possum Hill & Produced by Danny Lockwood\n\nFollow Katy Perry:\nhttp://www.katyperry.com\nhttp://youtube.com/katyperry\nhttp://twitter.com/katyperry\nhttp://facebook.com/katyperry\nhttp://instagram.com/katyperry\n\nMusic video by Katy Perry performing Hey Hey Hey (C) 2018 Capitol Records
10892,vUiE_0GPqKE,18.07.01,"BØRNS, Lana Del Rey - God Save Our Young Blood (Audio)",BØRNSmusicVEVO,10,2018-01-02T17:00:06.000Z,"BØRNS|""Lana""|""Del""|""Rey""|""God""|""Save""|""Our""|""Young""|""Blood""|""Interscope""|""Alternative""",1053771,55154,1239,4122,https://i.ytimg.com/vi/vUiE_0GPqKE/default.jpg,False,False,False,"“God Save Our Young Blood” featuring Lana Del Rey is out now: http://smarturl.it/GSOYB\n\nThe sophomore album by BØRNS, ‘Blue Madonna’, is out 1/12/18. Pre-order here: http://smarturl.it/BlueMadonna\n\nFollow BØRNS:\nhttps://www.facebook.com/bornsmusic \nhttps://twitter.com/bornsmusic\nhttp://instagram.com/bornsmusic\n\nSubscribe to the BØRNS newsletter: http://smarturl.it/BORNS.News\n\nMusic video by BØRNS, Lana Del Rey performing God Save Our Young Blood. (C) 2017 Interscope Records\n\nhttp://vevo.ly/RMnWEL"
10963,IXNrHusLXoM,18.07.01,Avicii - Friend Of Mine (Original Video) ft. Vargas & Lagola,AviciiOfficialVEVO,10,2017-12-31T11:00:07.000Z,"Avicii|""Friend""|""Of""|""Mine""|""Universal""|""Music""|""Dance""",2736853,91174,1739,3483,https://i.ytimg.com/vi/IXNrHusLXoM/default.jpg,False,False,False,Listen to the EP here: http://avicii.lnk.to/AVICI \n\nAgency: Black Dalmatian Films/OPA PEOPLE\n\nWritten by: @unkowngenius\n\nDirected by: Tobias Leo Nordquist\n\nProduction Company: Composite \nProducers: Charles Hayes & Cody
11020,gA-NDZb29I4,18.08.01,Justin Timberlake - Filthy (Official Video),justintimberlakeVEVO,10,2018-01-05T05:00:01.000Z,"Filthy|""Justin Timberlake""|""Pop""|""RCA Records Label""",12405276,225070,49515,26663,https://i.ytimg.com/vi/gA-NDZb29I4/default.jpg,False,False,False,Man Of The Woods – An Album By Justin Timberlake - February 2nd – Pre-Order Now:\niTunes - http://smarturl.it/jMOTW/itunes?IQid=yt\nAmazon - http://smarturl.it/jMOTW/az?IQid=yt\nSpotify Pre-Save - http://smarturl.it/jMOTW/spotifypresave?IQid=yt\nTarget - http://smarturl.it/jMOTW/target?IQid=yt \nGoogle Play - http://smarturl.it/jMOTW/googleplay?IQid=yt \nMore Options - http://smarturl.it/jMOTW?IQid=yt\n\nStream “Filthy”:\nApple Music - http://smarturl.it/jFILTHY/applemusic?IQid=yt\nSpotify - http://smarturl.it/jFILTHY/spotify?IQid=yt\nAmazon Music - http://smarturl.it/jFILTHY/az?IQid=yt\nDeezer - http://smarturl.it/jFILTHY/deezer?IQid=yt\n\nFollow Justin Timberlake:\nWebsite: https://www.justintimberlake.com/\nFacebook: https://www.facebook.com/justintimberlake \nTwitter: https://twitter.com/jtimberlake\nInstagram: https://www.instagram.com/justintimberlake/\nSpotify: http://smarturl.it/JTimberlakeSpotify
11022,z2kEKZ6jyQQ,18.08.01,JAY-Z - Family Feud ft. Beyoncé,JayZVEVO,10,2018-01-05T05:00:06.000Z,"JAY-Z|""Family""|""Feud""|""Roc""|""Nation""|""Jay-Z""|""Hip""|""Hop""|""New jayz album""|""JAY Z""|""JAYZ""|""TIDAL""|""4:44""|""444""|""family feud""|""Shawn Carter""|""beyonce""|""New York Times""",3894819,117864,11501,14103,https://i.ytimg.com/vi/z2kEKZ6jyQQ/default.jpg,False,False,False,"Watch Family Feud from JAY-Z’s new album, 4:44 Streaming now on TIDAL - https://JAY-Z.co/444  Follow JAY-Z: Facebook: https://www.facebook.com/JAYZ  Twitter: https://twitter.com/s_c_\n\nMusic video by JAY-Z performing Family Feud. (C) 2018 S. Carter Enterprises, LLC. Marketed by Roc Nation & Distributed by Roc Nation/UMG Recordings, Inc.\n\nhttp://vevo.ly/Sh4iow"
11036,ShZ978fBl6Y,18.08.01,Calum Scott - You Are The Reason (Official),CalumScottVEVO,10,2018-01-05T10:00:01.000Z,"calum scott|""you are the reason""|""music video""|""official""|""only human""|""dancing on my own""",2480031,155591,1107,5893,https://i.ytimg.com/vi/ShZ978fBl6Y/default.jpg,False,False,False,"Pre-order Calum’s debut album ‘Only Human’ feat. “You Are The Reason” & “Dancing On My Own” now: http://calumscott.lnk.to/onlyhuman\nYou Are The Reason available now: http://calumscott.lnk.to/YATRYd\n\nLyrics:\nThere goes my heart beating\nCause you are the reason\nI'm losing my sleep\nPlease come back now\n\nThere goes my mind racing\nAnd you are the reason\nThat I'm still breathing\nI'm hopeless now\n\nI'd climb every mountain\nAnd swim every ocean\nJust to be with you\nAnd fix what I've broken\nOh, ‘cause I need you to see\nThat you are the reason\n\nThere goes my hands shaking\nCause you are the reason\nMy heart keeps bleeding\nAnd I need you now\n\nIf I could turn back the clock\nI'd make sure the light defeated the dark\nI'd spend every hour, of every day\nKeeping you safe\n\nI'd climb every mountain\nAnd swim every ocean\nJust to be with you\nAnd fix what I've broken\nOh, ‘cause I need you to see\nThat you are the reason\nYou are the reason\nYeah, yeah...\n\nI'd climb every mountain\nAnd swim every ocean\nJust to be with you\nAnd fix what I've broken\nOh, ‘cause I need you to see\nThat you are the reason\n\nFollow Calum Scott\nhttp://calumscott.com\nhttp://facebook.com/calumscottmusic1/\nhttp://twitter.com/calumscott\nhttp://instagram.com/calumscott/\nhttp://soundcloud.com/calumscottmusic\n\nMusic video by Calum Scott performing You Are The Reason. (C) 2018 Capitol Records\n\nhttp://vevo.ly/onHJtF"
11038,zvjqcoiOPbE,18.08.01,Breaking Benjamin - Red Cold River (Audio Only),BreakingBenjaminVEVO,10,2018-01-05T05:00:03.000Z,"breaking benjamin red cold river|""breaking ben red cold river""|""breaking benjamin dark before dawn""|""breaking benjamin never again""|""bb red cold river""|""benjamin burnley""|""breaking benjamin failure""|""breaking benjamin angels fall""",796517,37459,765,4988,https://i.ytimg.com/vi/zvjqcoiOPbE/default.jpg,False,False,False,"Red Cold River is available here:\nDownload: http://hollywoodrecs.co/BBRedColdRiverDL\nStreaming: http://hollywoodrecs.co/BBRedColdRiver\n\nFollow Breaking Benjamin:\nFacebook: http://facebook.com/breakingbenjamin\nInstagram: http://instagram.com/breakingbenjamin\nTwitter: http://twitter.com/breakingbenj\n\nMusic video by Breaking Benjamin performing Red Cold River. (C) 2018 Hollywood Records, Inc\n\nhttp://vevo.ly/rwG6i5"
11051,BfbIoUMdKZ0,18.08.01,TobyMac - I just need U. (Audio),TobyMacVEVO,10,2018-01-05T05:00:01.000Z,"TobyMac|""just""|""need""|""U.""|""Forefront""|""(FRF)""|""Christian""",292863,11979,284,895,https://i.ytimg.com/vi/BfbIoUMdKZ0/default.jpg,False,False,False,"TobyMac- Official Audio Only Video for I just need U.”\n\nSubscribe to TobyMacVEVO: http://smarturl.it/TobyMacVEVOsub \n\nDownload or listen to this song: http://tobymac.co/IjustneedU.all \n\nFollow Artist: \nFacebook: http://facebook.com/tobymac\nTwitter: http://twitter.com/officialtobymac\nInstagram: http://instagram.com/officialtobymac\nSpotify: http://capcmg.me/ijustneedU.sp \n\nLYRICS: \n\nLast night put the heavy on me\nWoke up, and I’m feeling lonely\nThis world gotta a way of showin’ me\nSome days it’ll lift you up\nSome days it’ll call your bluff\nMan, most of my days I ain’t got enough\n\nAnd all I know is You’re my only hope\n\nWhen I’m up, when I’m down\nWhen the wolves come around\nWhen my feet hit the ground\nI just need, I just need U\nOn my darkest days, when I’m losing faith\nNo, it ain’t gonna change\nI just need, I just need U\nLord, I need U\nYeah, I just need U\n\nYea, though I walk through the valley of the shadow of death\nI will fear no evil for thou art with me\nThy rod and thy staff …\nThey comfort me when I’m beat down broken\nHold my heart when it’s split wide-open\nTurn these eyes to my sole protector\nAnd break the will of this born defector\n\nWhen You pull me closer I come to life\n\nAin’t no way this thing gon’ change, it’s U\nI need on my darkest days, when I’m losing faith\nI need U every single day, every breath I take\nI need U\n\nMusic video by TobyMac performing I just need U.. (C) 2018 Capitol Christian Music Group, Inc.\n\nhttp://vevo.ly/UukF0s"
11055,GfCqMv--ncA,18.08.01,"Kendrick Lamar, SZA - All The Stars (Audio)",KendrickLamarVEVO,10,2018-01-04T13:00:03.000Z,"Kendrick Lamar|""SZA""|""All The Stars""|""Black Panther""|""TDE""",4655253,184273,3011,10425,https://i.ytimg.com/vi/GfCqMv--ncA/default.jpg,False,False,False,Pre-order Black Panther: The Album\nhttp://smarturl.it/BlackPantherAlbum\n\nhttp://vevo.ly/3WpVJn
11080,D0aAYfRBVik,18.08.01,Katy Perry - Making Of “Hey Hey Hey” Music Video,KatyPerryVEVO,10,2018-01-04T18:00:00.000Z,"katy perry|""hey hey hey""|""behind the scenes""|""bts""|""official""|""making of""|""witness""",1407424,55734,2508,3559,https://i.ytimg.com/vi/D0aAYfRBVik/default.jpg,False,False,False,Get Hey Hey Hey from Katy's new album 'Witness': http://katy.to/WitnessYd\nWatch the official music video for “Hey Hey Hey”: http://katy.to/hhhvidYd\n\nWITNESS: The Tour tickets available now! https://www.katyperry.com/tour\n\nBehind The Scenes Directed by Possum Hill & Produced by Danny Lockwood\n\nFollow Katy Perry:\nhttp://www.katyperry.com\nhttp://youtube.com/katyperry\nhttp://twitter.com/katyperry\nhttp://facebook.com/katyperry\nhttp://instagram.com/katyperry\n\nMusic video by Katy Perry performing Hey Hey Hey (C) 2018 Capitol Records
11122,vUiE_0GPqKE,18.08.01,"BØRNS, Lana Del Rey - God Save Our Young Blood (Audio)",BØRNSmusicVEVO,10,2018-01-02T17:00:06.000Z,"BØRNS|""Lana""|""Del""|""Rey""|""God""|""Save""|""Our""|""Young""|""Blood""|""Interscope""|""Alternative""",1165379,58414,1322,4243,https://i.ytimg.com/vi/vUiE_0GPqKE/default.jpg,False,False,False,"“God Save Our Young Blood” featuring Lana Del Rey is out now: http://smarturl.it/GSOYB\n\nThe sophomore album by BØRNS, ‘Blue Madonna’, is out 1/12/18. Pre-order here: http://smarturl.it/BlueMadonna\n\nFollow BØRNS:\nhttps://www.facebook.com/bornsmusic \nhttps://twitter.com/bornsmusic\nhttp://instagram.com/bornsmusic\n\nSubscribe to the BØRNS newsletter: http://smarturl.it/BORNS.News\n\nMusic video by BØRNS, Lana Del Rey performing God Save Our Young Blood. (C) 2017 Interscope Records\n\nhttp://vevo.ly/RMnWEL"
11191,IXNrHusLXoM,18.08.01,Avicii - Friend Of Mine (Original Video) ft. Vargas & Lagola,AviciiOfficialVEVO,10,2017-12-31T11:00:07.000Z,"Avicii|""Friend""|""Of""|""Mine""|""Universal""|""Music""|""Dance""",3053922,95363,1852,3276,https://i.ytimg.com/vi/IXNrHusLXoM/default.jpg,False,False,False,Listen to the EP here: http://avicii.lnk.to/AVICI \n\nAgency: Black Dalmatian Films/OPA PEOPLE\n\nWritten by: @unkowngenius\n\nDirected by: Tobias Leo Nordquist\n\nProduction Company: Composite \nProducers: Charles Hayes & Cody
11247,gA-NDZb29I4,18.09.01,Justin Timberlake - Filthy (Official Video),justintimberlakeVEVO,10,2018-01-05T05:00:01.000Z,"Filthy|""Justin Timberlake""|""Pop""|""RCA Records Label""",14409910,247120,53803,30092,https://i.ytimg.com/vi/gA-NDZb29I4/default.jpg,False,False,False,Filthy from Man of the Woods \nOfficial Music Video directed by Mark Romanek\n \nMan Of The Woods – An Album By Justin Timberlake - February 2nd – Pre-Order Now:\niTunes - http://tmbr.lk/jMOTW_iTunes\nAmazon - http://tmbr.lk/jMOTW_Amazon\nSpotify Pre-Save - http://tmbr.lk/jMOTW_SpotifyPreSave\nTarget - http://tmbr.lk/MOTW_Target\nGoogle Play - http://tmbr.lk/jMOTW_GooglePlay\nMore Options - http://tmbr.lk/jMOTW\n\nStream “Filthy”:\nApple Music - http://tmbr.lk/jFILTHY_AppleMusic\nSpotify - http://tmbr.lk/jFILTHY_Spotify\nAmazon Music - http://tmbr.lk/jFILTHY_Amazon\nDeezer - http://tmbr.lk/jFILTHY_Deezer\n\nFollow Justin Timberlake:\nWebsite: https://www.justintimberlake.com/\nFacebook: https://www.facebook.com/justintimberlake\nTwitter: https://twitter.com/jtimberlake\nInstagram: https://www.instagram.com/justintimberlake/\nSpotify: http://tmbr.lk/Spotify
11248,z2kEKZ6jyQQ,18.09.01,JAY-Z - Family Feud ft. Beyoncé,JayZVEVO,10,2018-01-05T05:00:06.000Z,"JAY-Z|""Family""|""Feud""|""Roc""|""Nation""|""Jay-Z""|""Hip""|""Hop""|""New jayz album""|""JAY Z""|""JAYZ""|""TIDAL""|""4:44""|""444""|""family feud""|""Shawn Carter""|""beyonce""|""New York Times""",4366666,125009,12814,14966,https://i.ytimg.com/vi/z2kEKZ6jyQQ/default.jpg,False,False,False,"Watch Family Feud from JAY-Z’s new album, 4:44 Streaming now on TIDAL - https://JAY-Z.co/444  Follow JAY-Z: Facebook: https://www.facebook.com/JAYZ  Twitter: https://twitter.com/s_c_\n\nMusic video by JAY-Z performing Family Feud. (C) 2018 S. Carter Enterprises, LLC. Marketed by Roc Nation & Distributed by Roc Nation/UMG Recordings, Inc.\n\nhttp://vevo.ly/Sh4iow"
11259,ShZ978fBl6Y,18.09.01,Calum Scott - You Are The Reason (Official),CalumScottVEVO,10,2018-01-05T10:00:01.000Z,"calum scott|""you are the reason""|""music video""|""official""|""only human""|""dancing on my own""",3806481,208334,1624,7086,https://i.ytimg.com/vi/ShZ978fBl6Y/default.jpg,False,False,False,"Pre-order Calum’s debut album ‘Only Human’ feat. “You Are The Reason” & “Dancing On My Own” now: http://calumscott.lnk.to/onlyhuman\nYou Are The Reason available now: http://calumscott.lnk.to/YATRYd\n\nLyrics:\nThere goes my heart beating\nCause you are the reason\nI'm losing my sleep\nPlease come back now\n\nThere goes my mind racing\nAnd you are the reason\nThat I'm still breathing\nI'm hopeless now\n\nI'd climb every mountain\nAnd swim every ocean\nJust to be with you\nAnd fix what I've broken\nOh, ‘cause I need you to see\nThat you are the reason\n\nThere goes my hands shaking\nCause you are the reason\nMy heart keeps bleeding\nAnd I need you now\n\nIf I could turn back the clock\nI'd make sure the light defeated the dark\nI'd spend every hour, of every day\nKeeping you safe\n\nI'd climb every mountain\nAnd swim every ocean\nJust to be with you\nAnd fix what I've broken\nOh, ‘cause I need you to see\nThat you are the reason\nYou are the reason\nYeah, yeah...\n\nI'd climb every mountain\nAnd swim every ocean\nJust to be with you\nAnd fix what I've broken\nOh, ‘cause I need you to see\nThat you are the reason\n\nFollow Calum Scott\nhttp://calumscott.com\nhttp://facebook.com/calumscottmusic1/\nhttp://twitter.com/calumscott\nhttp://instagram.com/calumscott/\nhttp://soundcloud.com/calumscottmusic\n\nMusic video by Calum Scott performing You Are The Reason. (C) 2018 Capitol Records\n\nhttp://vevo.ly/onHJtF"
11263,zvjqcoiOPbE,18.09.01,Breaking Benjamin - Red Cold River (Audio Only),BreakingBenjaminVEVO,10,2018-01-05T05:00:03.000Z,"breaking benjamin red cold river|""breaking ben red cold river""|""breaking benjamin dark before dawn""|""breaking benjamin never again""|""bb red cold river""|""benjamin burnley""|""breaking benjamin failure""|""breaking benjamin angels fall""",944020,40840,864,5195,https://i.ytimg.com/vi/zvjqcoiOPbE/default.jpg,False,False,False,"Red Cold River is available here:\nDownload: http://hollywoodrecs.co/BBRedColdRiverDL\nStreaming: http://hollywoodrecs.co/BBRedColdRiver\n\nFollow Breaking Benjamin:\nFacebook: http://facebook.com/breakingbenjamin\nInstagram: http://instagram.com/breakingbenjamin\nTwitter: http://twitter.com/breakingbenj\n\nMusic video by Breaking Benjamin performing Red Cold River. (C) 2018 Hollywood Records, Inc\n\nhttp://vevo.ly/rwG6i5"
11277,BfbIoUMdKZ0,18.09.01,TobyMac - I just need U. (Audio),TobyMacVEVO,10,2018-01-05T05:00:01.000Z,"TobyMac|""just""|""need""|""U.""|""Forefront""|""(FRF)""|""Christian""",355467,13295,323,980,https://i.ytimg.com/vi/BfbIoUMdKZ0/default.jpg,False,False,False,"TobyMac- Official Audio Only Video for I just need U.”\n\nSubscribe to TobyMacVEVO: http://smarturl.it/TobyMacVEVOsub \n\nDownload or listen to this song: http://tobymac.co/IjustneedU.all \n\nFollow Artist: \nFacebook: http://facebook.com/tobymac\nTwitter: http://twitter.com/officialtobymac\nInstagram: http://instagram.com/officialtobymac\nSpotify: http://capcmg.me/ijustneedU.sp \n\nLYRICS: \n\nLast night put the heavy on me\nWoke up, and I’m feeling lonely\nThis world gotta a way of showin’ me\nSome days it’ll lift you up\nSome days it’ll call your bluff\nMan, most of my days I ain’t got enough\n\nAnd all I know is You’re my only hope\n\nWhen I’m up, when I’m down\nWhen the wolves come around\nWhen my feet hit the ground\nI just need, I just need U\nOn my darkest days, when I’m losing faith\nNo, it ain’t gonna change\nI just need, I just need U\nLord, I need U\nYeah, I just need U\n\nYea, though I walk through the valley of the shadow of death\nI will fear no evil for thou art with me\nThy rod and thy staff …\nThey comfort me when I’m beat down broken\nHold my heart when it’s split wide-open\nTurn these eyes to my sole protector\nAnd break the will of this born defector\n\nWhen You pull me closer I come to life\n\nAin’t no way this thing gon’ change, it’s U\nI need on my darkest days, when I’m losing faith\nI need U every single day, every breath I take\nI need U\n\nMusic video by TobyMac performing I just need U.. (C) 2018 Capitol Christian Music Group, Inc.\n\nhttp://vevo.ly/UukF0s"
11279,GfCqMv--ncA,18.09.01,"Kendrick Lamar, SZA - All The Stars (Audio)",KendrickLamarVEVO,10,2018-01-04T13:00:03.000Z,"Kendrick Lamar|""SZA""|""All The Stars""|""Black Panther""|""TDE""",5263337,192996,3357,10721,https://i.ytimg.com/vi/GfCqMv--ncA/default.jpg,False,False,False,Pre-order Black Panther: The Album\nhttp://smarturl.it/BlackPantherAlbum\n\nhttp://vevo.ly/3WpVJn
11307,D0aAYfRBVik,18.09.01,Katy Perry - Making Of “Hey Hey Hey” Music Video,KatyPerryVEVO,10,2018-01-04T18:00:00.000Z,"katy perry|""hey hey hey""|""behind the scenes""|""bts""|""official""|""making of""|""witness""",1516733,57080,2603,3617,https://i.ytimg.com/vi/D0aAYfRBVik/default.jpg,False,False,False,Get Hey Hey Hey from Katy's new album 'Witness': http://katy.to/WitnessYd\nWatch the official music video for “Hey Hey Hey”: http://katy.to/hhhvidYd\n\nWITNESS: The Tour tickets available now! https://www.katyperry.com/tour\n\nBehind The Scenes Directed by Possum Hill & Produced by Danny Lockwood\n\nFollow Katy Perry:\nhttp://www.katyperry.com\nhttp://youtube.com/katyperry\nhttp://twitter.com/katyperry\nhttp://facebook.com/katyperry\nhttp://instagram.com/katyperry\n\nMusic video by Katy Perry performing Hey Hey Hey (C) 2018 Capitol Records
